ID,Lead Status,Status,Lead Stage,Territory,Series,Salutation,First Name,Middle Name,Last Name,Job Title,Gender,Source,Lead Priority,Lead Owner,Lead Category,Request Type,Email,Website,Mobile No,WhatsApp,Phone,Phone Ext.,Alternate Phone(s),Organization Name,No of Employees,CASE Officer Remark,CASE Officer Note,Market Segment,Industry Type,Fax,Pincode,City,State/Province,Country,Ship To Address,Bill To Address,Full Address,Qualification Status,Qualified By,Qualified on,Annual Revenue
LEAD-2025-00001,Initial Lead,Lead,I: Introduction by various options,Sales MG HQ - John Smith,CRM-LEAD-.YYYY.-,Mr,Rajesh,Kumar,Sharma,Managing Director,Male,Exhibition,Top Review,user1@example.com,AAA,Product Enquiry,rajesh.sharma@techcorp.com,www.techcorp.com,9876543210,9876543210,02212345678,101,9988776655,TechCorp Industries,201-500,High priority client,Follow up required,Upper Income,Information Technology/ITES,02212345679,400001,Mumbai,Maharashtra,India,123 Business Park Mumbai,123 Business Park Mumbai,123 Business Park Andheri East Mumbai Maharashtra 400001,Qualified,user1@example.com,15-01-2025,50000000
LEAD-2025-00002,New Development Lead,Open,TD: Telephonic Discussion,Marketing Central- Jane Doe,CRM-LEAD-.YYYY.-,Mrs,Priya,Singh,Patel,CEO,Female,Campaign,Top Review,user2@example.com,AA,Request for Information,priya.patel@pharmainc.com,www.pharmainc.com,9876543211,9876543211,02287654321,201,,PharmaInc Healthcare,51-200,Interested in bulk orders,Schedule demo next week,Middle Income,Pharmaceutical Manufacturing,,400053,Mumbai,Maharashtra,India,456 Medical Complex,456 Medical Complex,456 Medical Complex Bandra West Mumbai Maharashtra 400053,In Process,user2@example.com,18-01-2025,35000000
LEAD-2025-00003,Potential Lead,Replied,V: Visited,IT SP - Bob Johnson,CRM-LEAD-.YYYY.-,Mr,Amit,Vijay,Deshmukh,Plant Manager,Male,Reference,Top Review,user3@example.com,A,Product Enquiry,amit.deshmukh@steelworks.com,www.steelworks.com,9123456789,9123456789,02033445566,,9123456780,SteelWorks Manufacturing,1000+,Large manufacturing facility,Site visit completed,Upper Income,Iron & Steel,02033445567,411001,Pune,Maharashtra,India,789 Industrial Area,789 Industrial Area,789 Industrial Area Pimpri Pune Maharashtra 411001,Qualified,user3@example.com,20-01-2025,120000000
LEAD-2025-00004,Market Converted Lead,Opportunity,S: Sampling,Sales MG HQ - Alice Williams,CRM-LEAD-.YYYY.-,Dr,Sneha,Rani,Kulkarni,Research Head,Female,Exhibition,,user4@example.com,AAA,Suggestions,sneha.kulkarni@biotech.com,www.biotech.com,9988776655,9988776655,08022334455,305,9988776656,BioTech Research Labs,11-50,R&D focused company,Sample approval pending,Middle Income,Biotech / Biotechnology,08022334456,560001,Bangalore,Karnataka,India,101 Science Park,101 Science Park,101 Science Park Whitefield Bangalore Karnataka 560001,Qualified,user4@example.com,22-01-2025,25000000
LEAD-2025-00005,Existing Lead,Quotation,Q: Quotation Sent,Marketing North,CRM-LEAD-.YYYY.-,Mr,Vikram,Mohan,Reddy,Operations Manager,Male,Cold Calling,,user5@example.com,B,Product Enquiry,vikram.reddy@logistics.com,www.logistics.com,9876512345,9876512345,04044556677,150,,LogisticsPro Services,501-1000,Expanding operations,Quote sent on 25th Jan,Lower Income,Transport & Logistics,04044556678,500001,Hyderabad,Telangana,India,202 Transport Hub,202 Transport Hub,202 Transport Hub Secunderabad Hyderabad Telangana 500001,In Process,user5@example.com,25-01-2025,45000000
LEAD-2025-00006,Dead Lead,Lost Quotation,VR: Vendor Registration,Sales MG HQ - All,CRM-LEAD-.YYYY.-,Ms,Anita,Devi,Gupta,Purchase Head,Female,Customer's Vendor,,user6@example.com,C,Other,anita.gupta@textiles.com,www.textiles.com,9988112233,9988112233,07912223344,,9988112234,Textiles International,201-500,Budget constraints,Lost to competitor,Middle Income,Textile & Apparel Manufacturing,07912223345,380001,Ahmedabad,Gujarat,India,303 Textile Market,303 Textile Market,303 Textile Market Narol Ahmedabad Gujarat 380001,Unqualified,user6@example.com,,30000000
LEAD-2025-00007,Initial Lead,Interested,I: Introduction by various options,North Et,CRM-LEAD-.YYYY.-,Mr,Suresh,Babu,Nair,Director,Male,Reference(MD Sir),Top Review,user7@example.com,AA,Product Enquiry,suresh.nair@chemicals.com,,9876598765,9876598765,04844556677,220,9876598766,ChemicalCorp Industries,51-200,MD reference,Very interested prospect,Upper Income,Chemical Manufacturing,04844556678,600001,Chennai,Tamil Nadu,India,404 Chemical Zone,404 Chemical Zone,404 Chemical Zone Ambattur Chennai Tamil Nadu 600001,In Process,user7@example.com,28-01-2025,55000000
LEAD-2025-00008,New Development Lead,Converted,OR: Order Received,Marketing Central,CRM-LEAD-.YYYY.-,Mrs,Kavita,Kumari,Joshi,General Manager,Female,Existing Customer,,user8@example.com,AAA,Request for Information,kavita.joshi@electronics.com,www.electronics.com,9123123123,9123123123,03312312312,405,,Electronics Manufacturing Ltd,1000+,Repeat customer,Order confirmed,Upper Income,Electronics Manufacturing,03312312313,700001,Kolkata,West Bengal,India,505 Electronics City,505 Electronics City,505 Electronics City Salt Lake Kolkata West Bengal 700001,Qualified,user8@example.com,30-01-2025,95000000
LEAD-2025-00009,Potential Lead,Lead,TD: Telephonic Discussion,Sales MG HQ - Charlie Brown,CRM-LEAD-.YYYY.-,Mr,Ravi,Shankar,Mishra,VP Sales,Male,Advertisement,,user9@example.com,A,Product Enquiry,ravi.mishra@autoparts.com,www.autoparts.com,9988998899,9988998899,01122334455,101,9988998800,AutoParts Manufacturing,201-500,Automotive sector,Discussion scheduled,Middle Income,Automotive Parts Manufacturing,01122334456,110001,New Delhi,Delhi,India,606 Auto Hub,606 Auto Hub,606 Auto Hub Okhla New Delhi Delhi 110001,In Process,user9@example.com,01-02-2025,40000000
LEAD-2025-00010,Market Converted Lead,Open,V: Visited,All Territories,CRM-LEAD-.YYYY.-,Dr,Meera,Laxmi,Iyer,Chief Scientist,Female,Walk In,Top Review,user10@example.com,AA,Suggestions,meera.iyer@foodtech.com,www.foodtech.com,9876567890,9876567890,02612345678,302,,FoodTech Innovations,11-50,Innovation focused,Site inspection done,Middle Income,Food Processing,02612345679,411038,Pune,Maharashtra,India,707 Food Park,707 Food Park,707 Food Park Hinjewadi Pune Maharashtra 411038,Qualified,user10@example.com,03-02-2025,28000000
LEAD-2025-00011,Initial Lead,Replied,S: Sampling,Sales MG HQ - John Smith,CRM-LEAD-.YYYY.-,Mr,Anil,Kumar,Verma,Factory Head,Male,Mass Mailing,,user11@example.com,B,Product Enquiry,anil.verma@rubber.com,www.rubber.com,9123987654,9123987654,08033445566,,9123987655,Rubber Industries Ltd,501-1000,Large scale production,Sample testing phase,Lower Income,Rubber & Rubber Products,08033445567,560050,Bangalore,Karnataka,India,808 Industrial Estate,808 Industrial Estate,808 Industrial Estate Peenya Bangalore Karnataka 560050,In Process,user11@example.com,05-02-2025,42000000
LEAD-2025-00012,New Development Lead,Opportunity,Q: Quotation Sent,Marketing Central- Jane Doe,CRM-LEAD-.YYYY.-,Ms,Sunita,Devi,Rao,Procurement Manager,Female,Supplier Reference,,user12@example.com,C,Request for Information,sunita.rao@construction.com,,9988887777,9988887777,04044445555,150,9988887778,Construction Materials Co,201-500,Building materials,Quote under review,Middle Income,Construction / Infrastructure,04044445556,500032,Hyderabad,Telangana,India,909 Builder's Plaza,909 Builder's Plaza,909 Builder's Plaza Jubilee Hills Hyderabad Telangana 500032,In Process,user12@example.com,07-02-2025,38000000
LEAD-2025-00013,Existing Lead,Interested,Tr: Trial Done,IT SP - Bob Johnson,CRM-LEAD-.YYYY.-,Mr,Deepak,Raj,Malhotra,Technical Director,Male,Campaign,Top Review,user13@example.com,AAA,Product Enquiry,deepak.malhotra@machinery.com,www.machinery.com,9876512312,9876512312,02287651234,220,,Machinery Solutions Pvt Ltd,51-200,Trial successful,Ready for bulk order,Upper Income,Machinery & Equipment Manufacturing,02287651235,400059,Mumbai,Maharashtra,India,1010 Machine Park,1010 Machine Park,1010 Machine Park Goregaon Mumbai Maharashtra 400059,Qualified,user13@example.com,09-02-2025,48000000
LEAD-2025-00014,Potential Lead,Quotation,VR: Vendor Registration,Sales MG HQ - Alice Williams,CRM-LEAD-.YYYY.-,Mrs,Rekha,Kumari,Sharma,Business Head,Female,Exhibition,,user14@example.com,AA,Other,rekha.sharma@packaging.com,www.packaging.com,9123456123,9123456123,02033456789,305,9123456124,Packaging Industries,1000+,Packaging solutions,Vendor docs submitted,Middle Income,Packaging / Packaging Materials,02033456790,411001,Pune,Maharashtra,India,1111 Pack Zone,1111 Pack Zone,1111 Pack Zone Bhosari Pune Maharashtra 411001,In Process,user14@example.com,11-02-2025,68000000
LEAD-2025-00015,Initial Lead,Lead,I: Introduction by various options,Marketing North,CRM-LEAD-.YYYY.-,Mr,Manoj,Singh,Chauhan,Owner,Male,Reference,,user1@example.com,A,Product Enquiry,manoj.chauhan@furniture.com,,9988123456,9988123456,01144556677,,9988123457,Furniture Craft Enterprises,11-50,Custom furniture,Initial meeting done,Lower Income,Furniture Manufacturing,01144556678,110020,New Delhi,Delhi,India,1212 Furniture Mart,1212 Furniture Mart,1212 Furniture Mart Mayapuri New Delhi Delhi 110020,Unqualified,user1@example.com,,18000000
LEAD-2025-00016,Market Converted Lead,Open,TD: Telephonic Discussion,North Et,CRM-LEAD-.YYYY.-,Dr,Pooja,Rani,Bhatt,Lab Director,Female,Cold Calling,Top Review,user2@example.com,AAA,Request for Information,pooja.bhatt@pharma.com,www.pharma.com,9876598123,9876598123,07912345678,401,,Pharma Research Institute,51-200,Research institute,Telephonic discussion positive,Upper Income,Pharmaceuticals,07912345679,380015,Ahmedabad,Gujarat,India,1313 Pharma Complex,1313 Pharma Complex,1313 Pharma Complex Satellite Ahmedabad Gujarat 380015,Qualified,user2@example.com,13-02-2025,52000000
LEAD-2025-00017,New Development Lead,Replied,V: Visited,Sales MG HQ - All,CRM-LEAD-.YYYY.-,Mr,Sanjay,Kumar,Tripathi,Works Manager,Male,Existing Customer,,user3@example.com,B,Suggestions,sanjay.tripathi@cement.com,www.cement.com,9123654789,9123654789,04844556688,150,9123654790,Cement Corporation Ltd,1000+,Cement manufacturing,Factory visit completed,Middle Income,Cement,04844556689,600089,Chennai,Tamil Nadu,India,1414 Cement Works,1414 Cement Works,1414 Cement Works Sriperumbudur Chennai Tamil Nadu 600089,In Process,user3@example.com,15-02-2025,85000000
LEAD-2025-00018,Existing Lead,Opportunity,S: Sampling,Marketing Central,CRM-LEAD-.YYYY.-,Ms,Neha,Devi,Kulkarni,Marketing Head,Female,Advertisement,,user4@example.com,AA,Product Enquiry,neha.kulkarni@cosmetics.com,www.cosmetics.com,9988776123,9988776123,02212312345,220,,Cosmetics & Beauty Co,201-500,Beauty products,Samples dispatched,Lower Income,Cosmetics & Beauty Products,02212312346,400004,Mumbai,Maharashtra,India,1515 Beauty Plaza,1515 Beauty Plaza,1515 Beauty Plaza Matunga Mumbai Maharashtra 400004,In Process,user4@example.com,17-02-2025,32000000
LEAD-2025-00019,Initial Lead,Quotation,Q: Quotation Sent,Sales MG HQ - Charlie Brown,CRM-LEAD-.YYYY.-,Mr,Rahul,Mohan,Shetty,Senior Manager,Male,Customer's Vendor,Top Review,user5@example.com,C,Request for Information,rahul.shetty@printing.com,,9876501234,9876501234,08022345678,305,9876501235,Printing Solutions Pvt Ltd,51-200,Printing services,Quotation sent,Middle Income,Printing & Packaging,08022345679,560016,Bangalore,Karnataka,India,1616 Print Hub,1616 Print Hub,1616 Print Hub Rajajinagar Bangalore Karnataka 560016,In Process,user5@example.com,19-02-2025,26000000
LEAD-2025-00020,Potential Lead,Interested,Tr: Trial Done,All Territories,CRM-LEAD-.YYYY.-,Mrs,Geeta,Kumari,Reddy,Production Head,Female,Reference(MD Sir),,user6@example.com,AAA,Other,geeta.reddy@dairy.com,www.dairy.com,9123789456,9123789456,04044556688,401,9123789457,Dairy Products Ltd,201-500,Dairy processing,Trial phase successful,Upper Income,Dairy,04044556689,500081,Hyderabad,Telangana,India,1717 Dairy Farm,1717 Dairy Farm,1717 Dairy Farm Uppal Hyderabad Telangana 500081,Qualified,user6@example.com,21-02-2025,44000000
LEAD-2025-00021,Market Converted Lead,Converted,OR: Order Received,Marketing North,CRM-LEAD-.YYYY.-,Mr,Ashok,Singh,Yadav,CEO,Male,Walk In,Top Review,user7@example.com,AA,Product Enquiry,ashok.yadav@solar.com,www.solar.com,9988112456,9988112456,02612345679,150,,Solar Energy Systems Ltd,501-1000,Solar installations,Order confirmed,Upper Income,Solar Energy Systems,02612345680,411014,Pune,Maharashtra,India,1818 Solar Park,1818 Solar Park,1818 Solar Park Aundh Pune Maharashtra 411014,Qualified,user7@example.com,23-02-2025,72000000
LEAD-2025-00022,Initial Lead,Lead,I: Introduction by various options,Sales MG HQ - John Smith,CRM-LEAD-.YYYY.-,Dr,Vandana,Rani,Jain,Research Manager,Female,Mass Mailing,,user8@example.com,A,Suggestions,vandana.jain@biotech.com,,9876567123,9876567123,03312345678,220,9876567124,BioTech Solutions,11-50,Biotechnology research,Initial contact established,Middle Income,Biotech / Biotechnology,03312345679,700091,Kolkata,West Bengal,India,1919 Bio Campus,1919 Bio Campus,1919 Bio Campus New Town Kolkata West Bengal 700091,Unqualified,user8@example.com,,22000000
LEAD-2025-00023,New Development Lead,Open,TD: Telephonic Discussion,Marketing Central- Jane Doe,CRM-LEAD-.YYYY.-,Mr,Kiran,Kumar,Naik,Plant Director,Male,Supplier Reference,Top Review,user9@example.com,B,Request for Information,kiran.naik@fertilizer.com,www.fertilizer.com,9123321123,9123321123,01122334466,305,,Fertilizer Manufacturing Co,1000+,Fertilizer production,Discussion in progress,Lower Income,Fertilizer Manufacturing,01122334467,110041,New Delhi,Delhi,India,2020 Agro Park,2020 Agro Park,2020 Agro Park Narela New Delhi Delhi 110041,In Process,user9@example.com,25-02-2025,78000000
LEAD-2025-00024,Existing Lead,Replied,V: Visited,IT SP - Bob Johnson,CRM-LEAD-.YYYY.-,Ms,Pallavi,Devi,Desai,Operations Head,Female,Campaign,,user10@example.com,AAA,Product Enquiry,pallavi.desai@hvac.com,www.hvac.com,9988998123,9988998123,02287654323,401,9988998124,HVAC Solutions Pvt Ltd,51-200,HVAC systems,Site survey done,Upper Income,HVAC - Heating, Ventilation, Air Conditioning,02287654324,400064,Mumbai,Maharashtra,India,2121 Climate Control,2121 Climate Control,2121 Climate Control Malad Mumbai Maharashtra 400064,Qualified,user10@example.com,27-02-2025,36000000
